Attention,Mediation,Raw,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,user-definedlabeln
64.00,50.00,38.00,12825.00,16023.00,1605.00,5490.00,3599.00,5908.00,2801.00,2274.00,0
64.00,29.00,36.00,11233.00,26907.00,2135.00,1031.00,2258.00,4163.00,2761.00,1360.00,0
61.00,17.00,-1.00,3434.00,16285.00,1557.00,2700.00,2232.00,4486.00,1558.00,1231.00,0
48.00,21.00,-3.00,15426.00,9968.00,1144.00,2743.00,2980.00,5020.00,3795.00,3126.00,0
43.00,26.00,32.00,4900.00,17925.00,6464.00,6370.00,4274.00,4478.00,1411.00,1103.00,0
43.00,44.00,36.00,4449.00,11726.00,8294.00,2915.00,3753.00,3073.00,1480.00,1652.00,0
26.00,50.00,330.00,355382.00,146783.00,38987.00,11472.00,5690.00,6278.00,1200.00,1287.00,0
3.00,53.00,40.00,113089.00,28407.00,5311.00,4328.00,1693.00,764.00,248.00,195.00,0
13.00,41.00,25.00,10651.00,15014.00,77.00,3925.00,2456.00,8541.00,2510.00,2039.00,0
10.00,51.00,54.00,6113.00,8934.00,1577.00,18414.00,3118.00,2999.00,2607.00,1372.00,0
20.00,64.00,39.00,4356.00,5349.00,6909.00,6367.00,3312.00,2201.00,1236.00,1134.00,0
37.00,67.00,73.00,9713.00,13274.00,2638.00,7212.00,4754.00,2871.00,2600.00,1777.00,0
30.00,80.00,48.00,1818.00,7564.00,5236.00,2762.00,3988.00,4540.00,1899.00,649.00,0
48.00,64.00,48.00,2283.00,8694.00,5162.00,1475.00,3251.00,10695.00,1661.00,1402.00,0
48.00,61.00,17.00,3381.00,5718.00,4391.00,5680.00,3677.00,1785.00,1169.00,1264.00,0
48.00,70.00,27.00,3078.00,3986.00,4833.00,11475.00,6294.00,2306.00,2549.00,986.00,0
34.00,77.00,52.00,7461.00,17829.00,5713.00,13012.00,6600.00,1578.00,1215.00,1735.00,0
16.00,84.00,20.00,3200.00,12899.00,7402.00,9196.00,9795.00,2898.00,1749.00,1006.00,0
14.00,83.00,27.00,12739.00,23991.00,16997.00,9091.00,2975.00,4955.00,4092.00,1671.00,0
17.00,78.00,22.00,6871.00,11897.00,9652.00,4055.00,2848.00,3867.00,1808.00,1246.00,0
30.00,75.00,37.00,5885.00,15872.00,9684.00,7514.00,5712.00,7814.00,3108.00,1055.00,0
44.00,70.00,8.00,4599.00,7090.00,4185.00,4068.00,4633.00,7098.00,3745.00,1007.00,0
54.00,60.00,21.00,2704.00,9255.00,1327.00,4060.00,4576.00,5161.00,3594.00,2412.00,0
57.00,60.00,50.00,7308.00,5649.00,6387.00,1285.00,2714.00,3175.00,2564.00,1192.00,0
54.00,57.00,38.00,15597.00,7368.00,4301.00,5409.00,6591.00,3052.00,2633.00,1817.00,0
48.00,64.00,40.00,4925.00,11637.00,11408.00,4988.00,4891.00,5915.00,3473.00,761.00,0
40.00,66.00,51.00,3045.00,13377.00,3653.00,2211.00,541.00,2500.00,2186.00,6305.00,0
43.00,63.00,26.00,10360.00,8990.00,4997.00,3368.00,4434.00,5727.00,2201.00,1710.00,0
38.00,70.00,52.00,4072.00,7021.00,6298.00,13166.00,6009.00,2471.00,1677.00,943.00,0
35.00,70.00,42.00,3531.00,13111.00,18672.00,3674.00,5441.00,5568.00,2205.00,1893.00,0
41.00,78.00,59.00,2736.00,5965.00,5098.00,3041.00,4532.00,3830.00,3183.00,1231.00,0
40.00,77.00,38.00,7606.00,6444.00,4988.00,2080.00,7972.00,3357.00,2498.00,938.00,0
44.00,67.00,45.00,7816.00,19130.00,4754.00,9767.00,2834.00,6971.00,1638.00,1051.00,0
34.00,38.00,-155.00,321178.00,161377.00,1153.00,3588.00,3191.00,6231.00,4191.00,1716.00,0
11.00,29.00,81.00,141610.00,94287.00,7370.00,15975.00,8370.00,2255.00,589.00,436.00,0
13.00,30.00,20.00,23035.00,20183.00,5978.00,10018.00,12222.00,10555.00,1902.00,1273.00,0
20.00,29.00,-24.00,4208.00,5476.00,6755.00,1175.00,9295.00,6237.00,2758.00,1084.00,0
40.00,56.00,16.00,10791.00,4065.00,3360.00,4275.00,4333.00,4289.00,1654.00,1443.00,0
64.00,64.00,33.00,9958.00,5569.00,2869.00,3798.00,2815.00,4211.00,1339.00,1895.00,0
61.00,75.00,64.00,12088.00,1910.00,10709.00,4215.00,7551.00,3737.00,1171.00,1273.00,0
60.00,81.00,8.00,5605.00,4026.00,9817.00,2350.00,3480.00,5237.00,2063.00,1383.00,0
50.00,78.00,43.00,19812.00,10116.00,2209.00,4205.00,4690.00,2396.00,1921.00,1674.00,0
50.00,80.00,42.00,7412.00,11712.00,14793.00,4849.00,3641.00,12577.00,1415.00,3206.00,0
50.00,63.00,42.00,2670.00,15897.00,5608.00,2106.00,23068.00,4748.00,2312.00,1117.00,0
50.00,57.00,5.00,14294.00,21999.00,2684.00,15737.00,6364.00,10974.00,1887.00,2346.00,0
57.00,56.00,32.00,18303.00,11284.00,6197.00,1246.00,3624.00,7974.00,3924.00,1066.00,0
61.00,50.00,54.00,17007.00,13877.00,5938.00,5427.00,5431.00,14884.00,1658.00,1648.00,0
60.00,61.00,11.00,4323.00,6727.00,2007.00,9588.00,5242.00,3040.00,1277.00,1486.00,0
56.00,69.00,55.00,5407.00,6647.00,11564.00,2670.00,1725.00,3893.00,2624.00,1399.00,0
48.00,74.00,12.00,10180.00,17037.00,2487.00,10303.00,7768.00,3892.00,2782.00,1475.00,0
35.00,70.00,32.00,16818.00,13678.00,4099.00,1552.00,4272.00,2736.00,4837.00,1205.00,0
35.00,77.00,28.00,2860.00,4680.00,4611.00,13081.00,4990.00,3096.00,3125.00,1707.00,0
30.00,77.00,60.00,1651.00,10943.00,20811.00,3736.00,4271.00,4687.00,2264.00,1460.00,0
38.00,87.00,42.00,3611.00,2837.00,6696.00,7265.00,3959.00,5490.00,4209.00,1791.00,0
38.00,100.00,37.00,6168.00,6458.00,8462.00,13511.00,5899.00,3774.00,3114.00,1911.00,0
38.00,100.00,25.00,20795.00,4721.00,11997.00,10298.00,6554.00,3587.00,1374.00,3003.00,0
43.00,81.00,48.00,35380.00,18122.00,3102.00,1803.00,7053.00,6012.00,3534.00,3591.00,0
37.00,70.00,24.00,5033.00,21878.00,4698.00,8114.00,5185.00,4995.00,2520.00,2031.00,0
43.00,64.00,39.00,3996.00,4122.00,2164.00,5200.00,3780.00,3401.00,2895.00,1320.00,0
44.00,61.00,26.00,14239.00,7994.00,3595.00,12058.00,7594.00,3859.00,1549.00,1766.00,0
40.00,69.00,32.00,11990.00,11272.00,4562.00,4759.00,10624.00,3096.00,2872.00,1584.00,0
47.00,74.00,24.00,10432.00,8170.00,8198.00,3876.00,4404.00,5477.00,3027.00,888.00,0
47.00,70.00,32.00,7391.00,11833.00,7624.00,3735.00,7082.00,6904.00,2392.00,1234.00,0
47.00,67.00,32.00,5380.00,10316.00,3894.00,10375.00,7883.00,4764.00,2339.00,2488.00,0
70.00,51.00,9.00,16279.00,25677.00,12281.00,9446.00,7797.00,12057.00,11006.00,6127.00,1
64.00,51.00,35.00,6036.00,43634.00,4316.00,22576.00,8742.00,30254.00,15698.00,7790.00,1
54.00,60.00,12.00,9332.00,28769.00,19369.00,16752.00,28086.00,9611.00,5456.00,5264.00,1
54.00,70.00,36.00,6904.00,3527.00,12044.00,4027.00,11184.00,15152.00,11256.00,9177.00,1
67.00,64.00,-43.00,7440.00,6120.00,3346.00,4477.00,8395.00,15745.00,4757.00,4176.00,1
81.00,60.00,28.00,24237.00,5726.00,5957.00,3860.00,9593.00,34651.00,13176.00,3761.00,1
93.00,53.00,-45.00,16239.00,11520.00,2679.00,7654.00,13310.00,12688.00,9763.00,3764.00,1
87.00,48.00,33.00,2834.00,13463.00,6288.00,7133.00,15542.00,10874.00,14216.00,2703.00,1
84.00,53.00,24.00,7464.00,6962.00,9123.00,10873.00,15380.00,26577.00,6564.00,15607.00,1
61.00,47.00,69.00,1043924.00,148480.00,11249.00,13251.00,24868.00,24061.00,17007.00,26689.00,1
63.00,53.00,-10.00,39969.00,6321.00,1287.00,21541.00,23547.00,19392.00,27650.00,10264.00,1
69.00,63.00,-19.00,7967.00,1074.00,4797.00,17916.00,4434.00,20205.00,23950.00,12341.00,1
69.00,60.00,33.00,3817.00,3054.00,2712.00,5602.00,13826.00,11486.00,6117.00,3763.00,1
78.00,77.00,81.00,5671.00,11643.00,6874.00,8241.00,8378.00,10615.00,7456.00,10585.00,1
66.00,61.00,27.00,220993.00,93490.00,7627.00,6550.00,5029.00,16165.00,21179.00,5461.00,1
61.00,51.00,64.00,4649.00,18358.00,5056.00,11743.00,14697.00,16669.00,10767.00,13543.00,1
57.00,48.00,75.00,5567.00,14268.00,1312.00,9352.00,17298.00,14711.00,48610.00,2187.00,1
64.00,44.00,75.00,8398.00,6658.00,3474.00,7919.00,8879.00,14788.00,17057.00,8817.00,1
74.00,56.00,58.00,7591.00,27978.00,2923.00,23405.00,14376.00,25219.00,12175.00,3471.00,1
75.00,63.00,40.00,7496.00,5293.00,5109.00,15271.00,8605.00,15273.00,12004.00,13157.00,1
77.00,56.00,81.00,24537.00,18980.00,5191.00,2001.00,19578.00,16832.00,6329.00,7991.00,1
69.00,53.00,65.00,8955.00,18518.00,1778.00,9124.00,6632.00,11826.00,5460.00,6986.00,1
75.00,50.00,19.00,6272.00,10778.00,1759.00,13598.00,25510.00,23141.00,9099.00,10779.00,1
74.00,50.00,21.00,28533.00,14081.00,8809.00,19225.00,8040.00,16671.00,6468.00,16700.00,1
69.00,69.00,8.00,5266.00,13559.00,8586.00,22194.00,7431.00,22475.00,9248.00,8714.00,1
74.00,81.00,25.00,10691.00,9292.00,4619.00,21843.00,3413.00,18863.00,10411.00,6840.00,1
64.00,90.00,18.00,10027.00,16255.00,4787.00,12259.00,9260.00,12921.00,3758.00,4834.00,1
57.00,81.00,52.00,703180.00,69243.00,23274.00,10367.00,16300.00,19733.00,10913.00,8524.00,1
57.00,74.00,44.00,6090.00,7618.00,5554.00,9521.00,22694.00,10618.00,4800.00,7272.00,1
66.00,67.00,11.00,1163.00,3357.00,6652.00,15493.00,7870.00,33278.00,4699.00,7270.00,1
56.00,69.00,-18.00,6739.00,29806.00,21758.00,12033.00,26122.00,7014.00,10470.00,5331.00,1
48.00,67.00,72.00,102767.00,21368.00,3875.00,5067.00,5434.00,2153.00,2211.00,1959.00,1
23.00,53.00,59.00,314129.00,115771.00,9222.00,3296.00,6309.00,3119.00,4297.00,1339.00,1
13.00,47.00,7.00,3510.00,24238.00,9968.00,12040.00,32531.00,16957.00,5045.00,8451.00,1
35.00,34.00,60.00,8265.00,8061.00,2152.00,4626.00,9848.00,23874.00,17064.00,8425.00,1
50.00,24.00,6.00,10280.00,20281.00,3521.00,2485.00,6365.00,13179.00,8280.00,4555.00,1
80.00,29.00,75.00,2377.00,12804.00,3583.00,2524.00,11623.00,14775.00,6194.00,4953.00,1
70.00,43.00,-6.00,15115.00,16594.00,4920.00,23003.00,5717.00,6489.00,4747.00,11617.00,1
66.00,40.00,89.00,4314.00,17544.00,3829.00,2649.00,13165.00,20170.00,14757.00,3722.00,1
67.00,51.00,26.00,7344.00,7082.00,5516.00,6324.00,6031.00,14232.00,3902.00,3926.00,1
63.00,64.00,66.00,3065.00,18110.00,11260.00,12388.00,10907.00,16131.00,13528.00,3823.00,1
66.00,56.00,27.00,4856.00,15816.00,4909.00,10718.00,12829.00,7626.00,9936.00,4860.00,1
63.00,78.00,58.00,5553.00,5919.00,12682.00,11737.00,5905.00,16596.00,16860.00,8328.00,1
60.00,88.00,16.00,18133.00,7265.00,8030.00,23900.00,5709.00,18052.00,15099.00,10039.00,1
69.00,90.00,5.00,7858.00,5904.00,4115.00,9592.00,6480.00,10917.00,3138.00,8050.00,1
66.00,77.00,108.00,28245.00,29673.00,8647.00,8983.00,13689.00,18683.00,5767.00,7043.00,1
66.00,57.00,27.00,4624.00,22888.00,4452.00,5329.00,20049.00,13948.00,5929.00,5227.00,1
67.00,60.00,-26.00,5297.00,7414.00,14494.00,7036.00,17651.00,16702.00,25286.00,11423.00,1
66.00,63.00,72.00,9560.00,9103.00,13687.00,26518.00,14634.00,24725.00,9452.00,11632.00,1
61.00,84.00,22.00,7375.00,16313.00,3200.00,69256.00,3463.00,15921.00,6316.00,8861.00,1
69.00,91.00,145.00,9555.00,9647.00,16155.00,6288.00,7966.00,39589.00,31586.00,10655.00,1
66.00,94.00,-13.00,5600.00,19338.00,16552.00,25068.00,8173.00,26457.00,10472.00,6405.00,1
64.00,90.00,16.00,4554.00,9734.00,16835.00,4768.00,10752.00,14275.00,18496.00,8586.00,1
77.00,78.00,54.00,8440.00,5057.00,11870.00,11731.00,4720.00,22197.00,12020.00,3789.00,1
77.00,80.00,52.00,5246.00,4949.00,8009.00,8763.00,10392.00,27271.00,6816.00,7623.00,1
83.00,77.00,57.00,13596.00,7341.00,8034.00,12586.00,5032.00,24630.00,5671.00,4291.00,1
83.00,67.00,35.00,8663.00,24424.00,5422.00,16472.00,24330.00,18752.00,7969.00,3594.00,1
78.00,61.00,53.00,12602.00,20303.00,16492.00,11656.00,30657.00,17373.00,10610.00,5383.00,1
75.00,54.00,67.00,14231.00,10101.00,6250.00,8997.00,30337.00,22574.00,15483.00,5042.00,1
77.00,54.00,39.00,6345.00,5310.00,8203.00,12639.00,7794.00,27006.00,7745.00,11759.00,1
87.00,53.00,69.00,8866.00,10255.00,1352.00,13376.00,15564.00,32685.00,19017.00,10816.00,1
84.00,57.00,48.00,7224.00,17266.00,10423.00,12595.00,9688.00,12620.00,6838.00,5732.00,1
91.00,56.00,26.00,14196.00,5947.00,9017.00,3399.00,16093.00,38101.00,11763.00,4108.00,1
67.00,35.00,87.00,51647.00,190972.00,8802.00,6307.00,6115.00,14112.00,5555.00,9015.00,1
38.00,29.00,-40.00,73414.00,39369.00,3006.00,4099.00,5227.00,1653.00,1776.00,1411.00,1
41.00,27.00,-4.00,11334.00,14723.00,26837.00,3915.00,22384.00,21277.00,13523.00,5939.00,1
34.00,29.00,-26.00,14217.00,9674.00,6181.00,2469.00,12649.00,13554.00,8395.00,6281.00,1
44.00,50.00,57.00,2976.00,16824.00,12633.00,9389.00,22258.00,11261.00,5131.00,5823.00,1
66.00,61.00,23.00,5376.00,19352.00,7651.00,22078.00,31926.00,21243.00,7740.00,4618.00,1
80.00,50.00,38.00,6845.00,1068.00,2193.00,1792.00,7030.00,11466.00,11453.00,8320.00,1
80.00,48.00,-1.00,14956.00,12661.00,5063.00,5175.00,20628.00,19036.00,7650.00,5902.00,1
81.00,53.00,32.00,17891.00,17597.00,12801.00,14925.00,5077.00,14964.00,6870.00,4498.00,1
83.00,51.00,1.00,5205.00,19290.00,6829.00,13358.00,14182.00,20817.00,11158.00,3646.00,1
75.00,53.00,9.00,2861.00,14083.00,3509.00,12842.00,19069.00,25155.00,11143.00,5928.00,1
75.00,50.00,-11.00,4306.00,16994.00,2775.00,5860.00,23498.00,21945.00,9445.00,7798.00,1
80.00,48.00,64.00,10563.00,9375.00,2199.00,18588.00,8357.00,17943.00,9084.00,5633.00,1
84.00,44.00,0.00,18825.00,12334.00,9622.00,3808.00,13674.00,26834.00,10877.00,3799.00,1
80.00,54.00,23.00,2434.00,8261.00,8006.00,10426.00,9991.00,12892.00,11137.00,9511.00,1
77.00,63.00,21.00,20896.00,21102.00,11604.00,8517.00,16048.00,22520.00,11280.00,3972.00,1
83.00,57.00,42.00,15152.00,1755.00,4303.00,5573.00,7483.00,15803.00,10247.00,6816.00,1
74.00,60.00,9.00,2352.00,23981.00,7357.00,8214.00,17810.00,12584.00,5794.00,12867.00,1
75.00,43.00,35.00,11311.00,14384.00,2531.00,3023.00,18101.00,12144.00,6746.00,9714.00,1
69.00,50.00,72.00,32294.00,12100.00,16315.00,5132.00,8810.00,10127.00,17170.00,9645.00,1
54.00,56.00,-21.00,30882.00,43318.00,32210.00,15556.00,10453.00,19005.00,7916.00,2441.00,1
51.00,63.00,123.00,26717.00,22548.00,8655.00,12276.00,4428.00,10898.00,12441.00,7151.00,1
54.00,64.00,21.00,12746.00,26116.00,8993.00,4291.00,19804.00,29657.00,14902.00,4124.00,1
64.00,48.00,28.00,1486.00,10457.00,1154.00,5395.00,17815.00,20157.00,12464.00,5579.00,1
66.00,37.00,58.00,255304.00,39581.00,4077.00,12155.00,16555.00,13682.00,13487.00,3816.00,1
78.00,35.00,32.00,5555.00,11194.00,2819.00,17985.00,8009.00,32692.00,5493.00,5935.00,1
75.00,51.00,4.00,932.00,7754.00,17452.00,6604.00,7196.00,15087.00,15521.00,5760.00,1
60.00,66.00,66.00,17446.00,21496.00,16011.00,4439.00,8235.00,8886.00,18587.00,6980.00,1
70.00,74.00,49.00,8266.00,3878.00,3510.00,8889.00,8788.00,14491.00,17921.00,16777.00,1
66.00,69.00,33.00,6263.00,10800.00,4109.00,10454.00,25396.00,12502.00,6043.00,4052.00,1
64.00,54.00,17.00,3540.00,10012.00,3326.00,3758.00,16151.00,7373.00,9333.00,6774.00,1
74.00,44.00,-6.00,11445.00,49942.00,10744.00,10752.00,9801.00,41125.00,4426.00,12037.00,1
61.00,51.00,34.00,13650.00,15351.00,25740.00,9720.00,16329.00,9679.00,17541.00,16302.00,1
61.00,60.00,103.00,5298.00,10243.00,6515.00,14516.00,3933.00,18487.00,6203.00,8038.00,1
61.00,74.00,53.00,13984.00,17131.00,5026.00,21040.00,7376.00,15831.00,6330.00,6884.00,1
60.00,75.00,23.00,9534.00,26632.00,358.00,13848.00,10704.00,16994.00,6560.00,2474.00,1
69.00,61.00,41.00,61430.00,15557.00,4896.00,7171.00,11119.00,20320.00,16476.00,3624.00,1
67.00,54.00,53.00,26193.00,19141.00,6672.00,8932.00,11636.00,17908.00,10246.00,6372.00,1
75.00,47.00,57.00,31484.00,28783.00,4909.00,18169.00,10519.00,37136.00,8224.00,12472.00,1
75.00,50.00,89.00,8213.00,8805.00,5747.00,3549.00,8501.00,11043.00,7383.00,13003.00,1
61.00,69.00,-9.00,9666.00,10154.00,18105.00,24220.00,13685.00,6673.00,7454.00,5664.00,1
61.00,63.00,26.00,4962.00,14186.00,5150.00,2133.00,8036.00,11498.00,8626.00,6876.00,1
53.00,75.00,7.00,5946.00,8503.00,7615.00,10985.00,4776.00,8889.00,6725.00,3943.00,1
56.00,74.00,40.00,9498.00,8708.00,5161.00,5956.00,11882.00,16383.00,6225.00,7169.00,1
61.00,56.00,48.00,80771.00,35649.00,9975.00,16381.00,20349.00,17737.00,7661.00,4921.00,1
61.00,67.00,-41.00,27198.00,18670.00,23884.00,16870.00,14852.00,29790.00,6594.00,10281.00,1
54.00,64.00,23.00,2327.00,32204.00,15887.00,11709.00,2191.00,9855.00,10526.00,8380.00,1
51.00,69.00,48.00,5493.00,15078.00,3555.00,13967.00,7907.00,16868.00,3663.00,5586.00,1
63.00,66.00,-24.00,3069.00,9097.00,2681.00,7557.00,13497.00,21431.00,16487.00,9459.00,1
63.00,61.00,50.00,8354.00,22231.00,14758.00,7368.00,12744.00,19734.00,9887.00,7889.00,1
69.00,57.00,76.00,2549.00,20547.00,11405.00,9835.00,9934.00,16658.00,4039.00,9608.00,1
63.00,64.00,33.00,9787.00,29266.00,27128.00,18097.00,8119.00,15735.00,6868.00,6948.00,1
53.00,77.00,40.00,7930.00,8789.00,10231.00,16145.00,20438.00,12177.00,11025.00,3533.00,1
61.00,67.00,-6.00,30343.00,15716.00,9005.00,2848.00,14195.00,34169.00,7023.00,5599.00,1
64.00,63.00,38.00,3880.00,5758.00,3377.00,6696.00,15122.00,9935.00,7898.00,7602.00,1
63.00,69.00,18.00,1703.00,9153.00,23491.00,9666.00,5578.00,7298.00,8260.00,5725.00,1
61.00,70.00,74.00,8634.00,40423.00,14636.00,41258.00,14107.00,24729.00,5744.00,8258.00,1
53.00,84.00,71.00,32791.00,6682.00,5347.00,12242.00,9049.00,11666.00,5254.00,4442.00,1
44.00,100.00,-39.00,536.00,13735.00,11826.00,21028.00,4249.00,10690.00,9375.00,4379.00,1
54.00,90.00,54.00,4492.00,16494.00,17371.00,17349.00,10932.00,26743.00,11942.00,5664.00,1
61.00,80.00,34.00,2179.00,9588.00,6692.00,2495.00,10223.00,11363.00,6209.00,8592.00,1
56.00,83.00,-20.00,9492.00,8378.00,7155.00,21963.00,15484.00,10482.00,5666.00,8070.00,1
56.00,78.00,-49.00,5533.00,5805.00,8781.00,13035.00,16217.00,6351.00,11561.00,7447.00,1
60.00,60.00,49.00,2434.00,21083.00,1760.00,5846.00,12243.00,24900.00,8297.00,7994.00,1
66.00,57.00,3.00,4252.00,7282.00,8839.00,1885.00,17969.00,22977.00,14840.00,6267.00,1
70.00,53.00,55.00,1985.00,10823.00,2975.00,13775.00,7704.00,13929.00,6590.00,7173.00,1
83.00,44.00,36.00,5901.00,5701.00,4048.00,8389.00,13636.00,15391.00,5009.00,9805.00,1
77.00,66.00,89.00,4547.00,5859.00,10282.00,24934.00,17354.00,15157.00,10075.00,5381.00,1
70.00,66.00,83.00,4158.00,17862.00,3237.00,6210.00,8531.00,17581.00,14944.00,10353.00,1
67.00,70.00,56.00,5577.00,3293.00,15610.00,3396.00,13104.00,7367.00,12699.00,13228.00,1
57.00,69.00,39.00,20076.00,17263.00,4506.00,14840.00,30939.00,12150.00,11753.00,8376.00,1
67.00,60.00,2.00,7208.00,6781.00,5287.00,6180.00,9141.00,17620.00,12363.00,5275.00,1
64.00,63.00,-5.00,8852.00,10125.00,1045.00,11106.00,11749.00,11098.00,18274.00,8565.00,1
60.00,60.00,32.00,5481.00,12121.00,12608.00,10311.00,13515.00,8180.00,4357.00,8252.00,1
63.00,64.00,77.00,2907.00,8552.00,5850.00,6278.00,4015.00,9698.00,7340.00,6562.00,1
53.00,64.00,67.00,12199.00,26338.00,7221.00,11180.00,10659.00,16344.00,7380.00,9660.00,1
50.00,74.00,59.00,10184.00,6946.00,26651.00,5620.00,31507.00,13723.00,7272.00,8043.00,1
56.00,64.00,34.00,11726.00,17790.00,9909.00,3544.00,9773.00,15768.00,12380.00,5908.00,1
56.00,70.00,-5.00,2212.00,10463.00,27194.00,6992.00,8175.00,17220.00,16219.00,8243.00,1
54.00,77.00,39.00,6815.00,11387.00,2692.00,19679.00,20129.00,12015.00,11869.00,5108.00,1
54.00,78.00,43.00,24413.00,10328.00,3957.00,21066.00,12605.00,13224.00,14769.00,7084.00,1
93.00,78.00,81.00,5902.00,8914.00,10336.00,9473.00,8643.00,12604.00,11175.00,8809.00,1
80.00,54.00,82.00,275755.00,92701.00,10876.00,4770.00,28035.00,18484.00,6377.00,5188.00,1
78.00,66.00,20.00,226478.00,11432.00,2133.00,5817.00,3343.00,3720.00,4177.00,1511.00,1
78.00,56.00,88.00,21194.00,69753.00,1115.00,38435.00,12969.00,18709.00,17082.00,2504.00,1
77.00,61.00,-37.00,37521.00,17927.00,45429.00,10851.00,13277.00,26211.00,6525.00,3555.00,1
74.00,74.00,39.00,84027.00,67249.00,16472.00,23387.00,32978.00,15190.00,8216.00,9821.00,1
70.00,64.00,-9.00,68968.00,75255.00,13561.00,8163.00,19910.00,14943.00,12295.00,3045.00,1
57.00,54.00,-91.00,81693.00,190196.00,21565.00,19879.00,47888.00,9611.00,15964.00,5733.00,1
29.00,44.00,21.00,1653467.00,753302.00,321668.00,32611.00,64750.00,24500.00,54438.00,101376.00,1
38.00,35.00,19.00,157560.00,152306.00,11762.00,24060.00,35223.00,58458.00,11467.00,13453.00,1
38.00,43.00,217.00,1235998.00,109934.00,84474.00,58040.00,199888.00,39208.00,45095.00,62638.00,1
57.00,54.00,-67.00,920948.00,46568.00,9815.00,25517.00,11861.00,26192.00,7698.00,8047.00,1
70.00,51.00,75.00,2319756.00,501068.00,152686.00,30530.00,81956.00,52646.00,50035.00,96447.00,1
57.00,60.00,98.00,171693.00,62425.00,10124.00,10172.00,3852.00,7350.00,5256.00,1774.00,1
61.00,61.00,-9.00,63678.00,15563.00,6829.00,6025.00,4134.00,6538.00,3031.00,716.00,1
60.00,63.00,2.00,69585.00,38233.00,5939.00,28077.00,12388.00,19982.00,6390.00,4134.00,1
64.00,60.00,1152.00,1675854.00,491857.00,32854.00,127582.00,137888.00,81392.00,38403.00,14394.00,1
64.00,60.00,213.00,419743.00,66205.00,19856.00,10985.00,4981.00,2160.00,1184.00,1460.00,1
60.00,44.00,59.00,579647.00,205080.00,16368.00,42441.00,116926.00,34162.00,18226.00,4031.00,1
67.00,48.00,57.00,6776.00,8392.00,6395.00,17854.00,11664.00,19609.00,5620.00,1676.00,1
69.00,61.00,11.00,14549.00,17571.00,17966.00,9892.00,10132.00,7043.00,4267.00,4932.00,1
67.00,74.00,29.00,29317.00,31918.00,23229.00,5710.00,13820.00,4247.00,2831.00,2332.00,1
77.00,80.00,16.00,17111.00,17859.00,6688.00,6709.00,13179.00,11131.00,6781.00,4838.00,1
74.00,69.00,27.00,12393.00,15640.00,3908.00,6993.00,19860.00,10909.00,4891.00,3003.00,1
83.00,60.00,21.00,25373.00,19269.00,9744.00,7292.00,17683.00,12849.00,7112.00,1790.00,1
93.00,60.00,38.00,32474.00,29453.00,5839.00,17162.00,3673.00,11214.00,3449.00,2282.00,1
84.00,66.00,35.00,4298.00,18945.00,14323.00,6206.00,14837.00,6008.00,5526.00,3245.00,1
83.00,77.00,37.00,24124.00,15580.00,12931.00,7924.00,9191.00,11762.00,2986.00,3149.00,1
77.00,75.00,-9.00,29843.00,15471.00,4256.00,7228.00,12076.00,5519.00,5781.00,2780.00,1
75.00,70.00,-7.00,26678.00,15898.00,3861.00,8457.00,9608.00,5460.00,3090.00,2021.00,1
84.00,56.00,7.00,3450.00,15040.00,2805.00,2922.00,10753.00,7863.00,5710.00,2013.00,1
69.00,53.00,35.00,7491.00,34055.00,12580.00,4445.00,4937.00,3621.00,3753.00,5142.00,1
77.00,56.00,4.00,19892.00,15638.00,6087.00,10117.00,10611.00,11406.00,4325.00,3360.00,1
81.00,61.00,-18.00,22125.00,21254.00,9839.00,16714.00,7081.00,14230.00,1932.00,3855.00,1
69.00,87.00,13.00,5571.00,4393.00,17407.00,14972.00,13725.00,4745.00,6340.00,2457.00,1
83.00,90.00,-10.00,7788.00,15228.00,9015.00,8247.00,4530.00,8963.00,4789.00,2017.00,1
80.00,96.00,68.00,26788.00,13060.00,9207.00,9510.00,5074.00,8270.00,7075.00,2256.00,1
70.00,94.00,35.00,9778.00,23749.00,3889.00,10623.00,3555.00,4231.00,2097.00,2278.00,1
75.00,81.00,40.00,9885.00,18621.00,8897.00,9514.00,7726.00,7765.00,2837.00,5737.00,1
66.00,93.00,124.00,22585.00,9893.00,5919.00,34895.00,10659.00,5282.00,4874.00,3602.00,1
57.00,90.00,13.00,11270.00,29638.00,5061.00,18823.00,5212.00,6983.00,2877.00,1819.00,1
54.00,84.00,-34.00,152017.00,72654.00,14374.00,10671.00,7231.00,7449.00,5879.00,4850.00,1
53.00,87.00,51.00,24125.00,16532.00,13030.00,12387.00,15276.00,7348.00,5107.00,2655.00,1
66.00,69.00,11.00,6513.00,14771.00,6598.00,5858.00,7376.00,10909.00,2967.00,4582.00,1
69.00,67.00,114.00,5677.00,21425.00,5639.00,9122.00,4306.00,7024.00,5443.00,3234.00,1
87.00,70.00,83.00,5496.00,8413.00,2966.00,5914.00,4911.00,7269.00,8598.00,9104.00,1
93.00,61.00,48.00,18581.00,18441.00,2835.00,6970.00,13126.00,8766.00,2149.00,3233.00,1
94.00,64.00,35.00,3240.00,17442.00,7696.00,10039.00,7562.00,15035.00,6107.00,2619.00,1
100.00,56.00,41.00,8397.00,15315.00,7957.00,4941.00,9915.00,27921.00,3488.00,3273.00,1
